nbre_eleves_segpa;latitude;longitude;effectifs_filles;effectifs_garcons
0;45.195224607476455;5.680420097587849;195;222
0;48.768199454529935;2.4057841110469402;240;230
0;43.30251976133512;5.388918166791596;434;449
0;50.29266344220489;3.9204097660583948;153;140
62;50.50657276230646;2.4645395665443663;231;225
0;-21.137412854368446;55.62768091608149;245;228
92;47.80471590386064;1.0596206260786383;330;359
60;49.27653803620592;4.010009804803653;194;218
28;14.712179262486641;-60.996560055649766;156;179
0;41.92628305932155;8.734748563149186;391;371
45;47.92103480258824;1.9270330428671327;308;334
0;48.9080996768158;2.4625423058013696;313;308
0;48.78494669525058;1.9781985519068777;225;249
0;50.4310641266138;2.9319693624659204;178;165
0;45.47898323665883;4.536359707872857;156;218
0;50.00954590065261;2.0762014443924333;133;125
0;43.67347246794884;4.62668966743531;315;361
48;49.04611545203748;2.0711298311356345;299;324
0;48.60898317794813;7.731634119330065;245;233
0;50.34717671609427;3.1310706351778967;217;201
0;48.88915980435331;2.388586699590991;179;186
56;48.88757577390621;2.361979663421302;189;195
0;48.89353515573851;2.2047202640815873;271;266
0;48.89365165961424;2.2228763890998566;174;183
39;42.697546140832365;9.446977797288765;264;325
61;48.66873268234934;2.363517042010605;315;316
58;50.718868994902444;3.1545501387874855;286;308
62;47.96491711362943;0.1623149899466343;263;251
0;49.04470945718989;2.0832364383798323;279;290
0;48.936611594468815;2.225034327264089;275;342
51;45.78502996666985;4.9158810193013665;227;284
41;3.8129691227780143;-54.14644991383088;88;112
48;48.93198915460544;2.215217020041409;365;385
0;50.48260659356755;2.547420203520672;210;181
63;45.69170031539395;-0.34876048375285473;186;227
52;48.86995327244236;2.3893779019454193;209;210
0;49.74429140967184;4.720399472113474;146;134
0;48.02011676905311;0.2097945372364403;151;193
113;46.97457270480655;-0.18980312585630363;229;248
0;46.32875696423236;-0.9496705132352254;129;119
0;44.16255645283105;4.613679404873639;380;348
42;50.61075822667113;3.070130015934418;174;201
0;47.832425345041756;1.9304602299494644;267;293
32;50.24844416685529;3.645209621701694;436;536
0;48.9786084453819;2.24227464617648;302;302
62;49.56229507810586;3.6408502326688725;336;370
0;43.323549135712575;5.385889532583953;235;251
21;50.27639042933437;2.2847005068762374;205;186
0;44.852276655981946;-0.5849179937998745;436;440
0;48.99785974657149;1.7480604194085383;301;319
0;49.1200744448891;6.197589709110649;198;244
0;48.73023988876585;2.4273227586184176;174;187
37;48.42312140936205;0.08816956207443082;273;219
0;50.3030779347669;4.090250109750892;161;199
63;44.86285258870648;-0.5166386585386282;323;329
0;47.989969906013314;0.20945180441740838;144;171
0;48.99692982386705;2.37200706907307;288;332
100;48.43339819251506;1.454989472728926;234;244
39;49.41031945923135;-1.31045682573086;110;108
0;-21.3377742060901;55.476299171650176;178;253
0;48.947950144870155;2.169862260735773;260;258
0;50.1757149656532;3.2289302757058485;242;253
0;51.01131527401728;2.3041700698011334;164;171
48;50.61075822667113;3.070130015934418;154;195
121;-21.276869616654146;55.42052144373737;405;420
0;48.582135183779386;7.777870947628021;256;331
0;44.19494104848643;0.6313424011554384;310;299
0;48.76400561366347;2.263559943633735;167;149
57;50.487227461465054;2.5555504164428298;239;302
0;49.4393634706028;2.102389643192186;289;309
86;43.731182936513065;7.251520493631353;379;362
0;14.831602137446968;-61.055538259790026;145;121
0;49.44725667477171;1.1409481889299682;210;223
36;48.548950183178;7.745844401973917;283;306
46;45.79275611788912;4.788188554322999;282;357
0;49.44171988622034;1.1535485937464796;242;261
0;49.07671268949892;6.684009451449142;161;192
63;45.52948793571253;4.266710174692869;474;502
64;48.675842470971745;6.201199399255605;230;242
0;43.1087587242333;0.7273627972779144;204;186
48;49.41031945923135;-1.31045682573086;115;132
60;43.8104670615702;4.622010183247755;270;295
54;49.26291200924911;2.4826495599082716;307;353
0;48.439255747831666;1.449800104604184;282;218
0;49.39342787625407;1.0852871688663643;223;222
0;49.511927377465774;0.17652108117012325;221;230
0;48.65601845352454;2.3682947133964083;215;208
0;46.25485364646008;5.638289823414171;286;307
58;48.907908690020946;2.390350112040794;319;340
61;44.772249000783766;-0.5967387196056518;264;327
54;48.73835319249141;1.353549589956368;237;244
0;-12.798448897785606;45.20577099537141;832;860
58;48.81137476429898;2.5155505257714887;296;282
50;50.74773575087692;2.26844997765505;165;168
59;43.3649273775508;5.3438294872879935;316;338
30;5.381882938020907;-52.9548402375789;114;126
0;48.78810220956382;2.4272811307948183;245;187
0;48.86823421704854;2.374320712353295;180;214
0;48.734362677158444;1.3314068328852184;201;240
0;48.900669701815026;2.4924471109186452;278;291
77;46.068421002685376;6.538230348768188;429;394
0;43.3285229352973;5.408321004299624;191;178
39;44.387896326262734;5.005314177299518;253;274
57;49.75156084497803;4.722190512361697;151;185
0;45.834842987816614;1.227624328711415;338;330
